ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
104573,Male,53,Returning,Business,Business,369,0,0.0,3,3,3,4,3,5,5,5,5,4,5,3,5,5,Satisfied
115027,Male,36,Returning,Business,Business,2989,0,0.0,1,1,5,4,1,5,5,5,3,4,5,1,5,5,Satisfied
70156,Male,56,Returning,Personal,Economy,550,0,0.0,4,5,5,5,2,3,4,5,4,4,5,5,4,5,Satisfied
66979,Male,44,Returning,Business,Business,985,0,0.0,1,1,3,5,1,5,4,5,5,2,5,1,5,5,Satisfied
63113,Female,42,Returning,Personal,Economy Plus,909,36,18.0,4,2,2,4,1,5,1,2,1,4,5,3,5,5,Neutral or Dissatisfied
6852,Female,49,Returning,Business,Business,622,2,0.0,5,5,5,4,5,5,5,5,3,2,5,5,5,5,Satisfied
64160,Female,59,Returning,Business,Economy,589,44,26.0,4,4,4,2,4,3,1,3,2,4,3,3,3,3,Neutral or Dissatisfied
111387,Female,33,Returning,Business,Business,3012,51,29.0,4,4,3,4,4,2,3,2,4,2,2,2,2,2,Neutral or Dissatisfied
66540,Female,37,Returning,Business,Business,1940,0,0.0,2,2,5,4,2,4,4,4,3,2,4,2,4,4,Satisfied
81416,Female,25,First-time,Business,Business,448,0,9.0,0,1,5,1,3,4,3,3,3,3,4,1,3,4,Neutral or Dissatisfied
108116,Female,38,Returning,Business,Business,1166,1,0.0,5,3,3,5,3,5,5,5,4,2,5,3,5,5,Satisfied
35785,Male,46,Returning,Personal,Economy,200,142,152.0,1,2,1,1,2,3,1,2,1,2,3,2,1,2,Neutral or Dissatisfied
68434,Male,25,First-time,Business,Economy,1045,0,0.0,2,2,1,2,3,2,5,2,5,5,4,3,5,3,Neutral or Dissatisfied
10444,Female,52,Returning,Business,Business,396,66,139.0,5,5,5,5,5,5,5,4,5,5,3,5,3,5,Satisfied
15830,Male,45,Returning,Business,Economy,195,0,8.0,3,3,3,2,3,2,2,2,2,2,5,2,2,3,Satisfied
77884,Male,69,Returning,Personal,Economy,700,0,0.0,5,3,5,3,2,4,5,4,5,5,1,3,5,2,Neutral or Dissatisfied
15572,Male,56,Returning,Business,Business,229,0,0.0,1,1,1,3,1,5,4,5,2,5,5,1,5,5,Satisfied
50235,Female,58,Returning,Business,Economy,209,0,0.0,3,3,1,4,3,3,3,3,2,5,3,3,3,3,Neutral or Dissatisfied
113119,Male,25,Returning,Personal,Economy,479,99,90.0,4,3,4,3,3,1,5,3,5,5,4,3,5,3,Neutral or Dissatisfied
103898,Female,52,Returning,Business,Economy Plus,882,0,8.0,4,4,2,2,4,4,3,3,2,3,4,3,4,4,Neutral or Dissatisfied
42487,Female,58,Returning,Business,Economy,585,454,448.0,2,2,4,4,2,2,4,1,4,4,5,4,2,2,Satisfied
123196,Male,63,Returning,Personal,Economy,547,3,14.0,0,2,4,2,4,4,2,2,3,3,5,2,3,5,Neutral or Dissatisfied
79300,Male,63,Returning,Business,Economy,2248,0,0.0,2,2,1,1,2,1,1,4,1,1,4,1,1,4,Neutral or Dissatisfied
42152,Female,57,Returning,Personal,Business,550,131,126.0,1,3,3,3,2,3,3,1,3,3,1,3,3,2,Neutral or Dissatisfied
89162,Male,66,Returning,Personal,Economy,2139,0,1.0,5,2,5,2,4,3,5,2,5,5,5,2,5,4,Neutral or Dissatisfied
120673,Male,25,First-time,Business,Business,280,0,0.0,0,1,4,1,4,4,1,3,1,1,4,1,1,1,Neutral or Dissatisfied
12456,Male,19,First-time,Personal,Economy,253,0,0.0,4,0,1,0,5,2,4,3,3,3,4,5,3,2,Satisfied
18650,Female,16,Returning,Personal,Economy,201,2,0.0,4,3,2,3,3,3,2,3,2,2,3,3,2,4,Neutral or Dissatisfied
34139,Female,43,Returning,Business,Business,1179,0,0.0,5,5,2,5,5,4,5,4,3,4,4,5,4,4,Satisfied
42201,Male,23,First-time,Business,Economy,817,0,0.0,3,3,2,3,5,4,1,3,1,1,1,3,1,2,Neutral or Dissatisfied
125946,Male,55,Returning,Personal,Economy,861,3,0.0,4,3,5,3,4,3,4,2,3,3,5,3,3,5,Neutral or Dissatisfied
83851,Male,28,Returning,Personal,Economy,425,0,0.0,5,5,3,5,3,4,4,4,4,4,4,5,4,4,Satisfied
74200,Female,29,First-time,Business,Business,641,0,0.0,5,5,3,5,2,5,2,5,2,2,4,5,2,4,Satisfied
2833,Male,43,Returning,Business,Business,3159,0,5.0,2,2,5,5,2,5,5,5,4,5,5,2,5,5,Satisfied
47326,Female,35,Returning,Business,Economy,590,33,15.0,1,1,5,4,1,3,4,2,4,4,4,4,4,2,Satisfied
124602,Male,38,Returning,Personal,Economy,500,20,11.0,4,1,4,1,3,4,2,1,2,2,3,1,2,3,Neutral or Dissatisfied
77722,Female,42,Returning,Business,Business,3912,0,0.0,2,2,3,4,2,5,4,5,4,4,5,2,5,5,Satisfied
106255,Female,23,First-time,Business,Business,1500,17,22.0,3,5,5,5,4,5,4,5,4,4,5,5,4,5,Satisfied
84136,Male,43,Returning,Business,Economy,382,0,0.0,1,5,3,3,5,1,2,1,2,2,4,3,2,4,Neutral or Dissatisfied
24894,Male,27,Returning,Personal,Economy,397,4,0.0,5,1,4,1,4,1,1,3,1,1,3,1,1,2,Neutral or Dissatisfied
971,Female,22,First-time,Business,Business,102,5,14.0,4,2,4,2,4,3,2,2,2,2,3,2,2,4,Neutral or Dissatisfied
79582,Male,46,Returning,Business,Business,762,0,0.0,4,4,3,4,4,4,4,4,3,3,4,4,4,4,Satisfied
50680,Male,40,Returning,Personal,Economy,158,1,0.0,5,0,3,0,3,5,3,2,3,3,4,3,3,5,Neutral or Dissatisfied
101310,Female,22,Returning,Personal,Business,1076,9,0.0,5,3,5,3,1,3,4,5,5,5,5,3,5,4,Neutral or Dissatisfied
37652,Male,25,Returning,Personal,Economy,944,4,0.0,5,3,3,3,3,3,4,5,4,4,5,3,4,2,Neutral or Dissatisfied
11075,Male,18,Returning,Personal,Economy,216,0,0.0,0,5,1,5,4,5,2,2,3,3,4,5,3,4,Satisfied
36718,Female,24,Returning,Business,Economy Plus,1249,23,20.0,2,2,1,3,2,2,1,4,3,3,3,3,3,3,Neutral or Dissatisfied
99303,Male,44,Returning,Business,Business,2203,28,22.0,2,2,3,5,2,4,4,4,4,2,4,2,4,4,Satisfied
41328,Male,42,Returning,Business,Business,689,1,0.0,2,2,1,2,2,2,3,2,2,5,2,2,2,2,Neutral or Dissatisfied
81901,Male,32,Returning,Business,Business,680,10,7.0,2,2,3,4,2,4,3,5,3,3,3,2,3,3,Satisfied
123463,Male,40,Returning,Business,Business,2077,0,0.0,2,2,4,4,2,4,4,4,4,3,4,2,4,4,Satisfied
53926,Male,46,Returning,Business,Economy Plus,191,21,3.0,2,2,2,1,2,1,1,1,1,1,4,1,1,4,Neutral or Dissatisfied
119747,Male,64,Returning,Personal,Economy,1303,0,0.0,5,1,3,1,4,5,4,5,5,5,5,1,5,3,Neutral or Dissatisfied
123693,Male,9,Returning,Personal,Economy,214,0,0.0,0,0,3,0,3,3,1,2,1,1,4,3,1,5,Neutral or Dissatisfied
120187,Male,27,Returning,Business,Business,1430,0,4.0,2,4,5,4,2,4,4,2,4,4,4,2,4,4,Satisfied
43959,Male,50,Returning,Business,Economy Plus,408,43,37.0,4,4,4,5,4,2,5,3,5,5,5,5,5,5,Satisfied
76470,Male,28,First-time,Business,Business,534,0,19.0,0,0,5,0,5,4,4,2,4,4,4,0,4,5,Satisfied
82020,Female,40,Returning,Personal,Economy,1532,1,0.0,5,2,4,2,2,3,1,5,1,1,5,3,1,3,Neutral or Dissatisfied
121216,Male,60,Returning,Business,Business,2075,1,0.0,5,4,4,3,5,2,4,2,3,4,2,5,2,2,Satisfied
124721,Female,9,Returning,Personal,Economy,399,0,19.0,4,1,3,1,3,3,4,5,4,4,5,1,4,4,Neutral or Dissatisfied
100958,Male,17,First-time,Business,Economy,1204,22,27.0,2,2,1,2,4,3,3,1,3,3,3,2,3,3,Neutral or Dissatisfied
67329,Male,18,First-time,Business,Business,1471,0,0.0,3,5,3,5,3,5,4,2,5,5,5,5,5,5,Satisfied
112245,Male,45,Returning,Business,Business,1703,46,55.0,5,5,4,4,5,5,4,4,4,5,5,5,5,5,Satisfied
101540,Female,58,Returning,Personal,Economy,345,0,0.0,4,1,3,4,1,2,5,1,4,2,2,1,2,2,Neutral or Dissatisfied
79546,Female,59,Returning,Business,Business,762,13,23.0,1,1,4,5,1,2,4,2,3,2,2,1,2,2,Satisfied
104575,Male,37,First-time,Business,Economy,369,55,53.0,3,1,2,1,3,4,3,5,3,3,4,1,3,4,Neutral or Dissatisfied
15838,Male,48,First-time,Business,Business,1107,255,236.0,1,1,2,1,3,2,2,4,2,1,5,1,4,4,Neutral or Dissatisfied
4117,Male,50,Returning,Business,Business,2187,0,2.0,5,5,5,5,5,5,4,5,3,2,5,5,5,5,Satisfied
68443,Female,39,Returning,Business,Business,2853,9,15.0,1,1,3,4,1,3,3,3,3,4,3,3,3,3,Neutral or Dissatisfied
118661,Female,36,First-time,Business,Economy,451,0,0.0,4,2,2,2,3,2,2,1,2,2,4,2,2,3,Neutral or Dissatisfied
26694,Female,42,Returning,Personal,Economy,270,0,0.0,0,0,1,4,3,3,1,0,2,4,3,2,3,2,Neutral or Dissatisfied
3687,Male,34,First-time,Business,Economy,427,68,39.0,2,3,4,3,3,4,4,4,4,4,3,3,4,3,Neutral or Dissatisfied
72625,Male,48,Returning,Personal,Economy,1119,0,2.0,5,3,5,3,3,5,3,4,3,3,5,3,3,4,Neutral or Dissatisfied
4119,Female,26,First-time,Business,Business,431,17,12.0,0,3,5,3,1,3,1,5,3,3,5,3,3,4,Neutral or Dissatisfied
6764,Female,37,First-time,Business,Business,223,0,0.0,5,5,5,5,3,5,1,4,1,1,5,5,1,5,Satisfied
53496,Female,31,Returning,Personal,Economy,2288,0,13.0,3,4,3,5,4,2,3,4,3,4,3,4,4,4,Neutral or Dissatisfied
93175,Female,30,Returning,Personal,Economy,1075,0,0.0,4,2,5,2,3,3,1,5,1,1,4,2,1,5,Neutral or Dissatisfied
114665,Female,55,Returning,Business,Business,325,0,0.0,2,2,4,5,2,5,5,5,3,4,5,2,5,5,Satisfied
17498,Female,39,Returning,Business,Economy,341,0,0.0,5,5,1,2,5,3,2,3,2,2,3,2,2,3,Neutral or Dissatisfied
95011,Male,51,Returning,Personal,Economy,248,7,5.0,4,5,5,5,2,4,5,2,5,5,4,5,5,5,Satisfied
70639,Female,46,Returning,Business,Business,946,0,6.0,1,1,4,4,1,5,5,5,4,4,5,1,5,5,Satisfied
108726,Female,42,First-time,Business,Economy,191,0,3.0,2,4,1,4,4,4,2,3,4,4,3,4,4,4,Neutral or Dissatisfied
69115,Male,46,First-time,Business,Business,1598,0,0.0,5,5,5,5,1,3,1,4,1,1,4,5,1,3,Satisfied
35139,Female,55,Returning,Business,Economy,1010,5,5.0,1,1,3,3,1,5,2,5,4,4,5,5,5,5,Satisfied
66580,Male,60,Returning,Business,Business,1995,0,0.0,1,1,5,4,1,5,4,5,5,5,5,1,5,5,Satisfied
18653,Female,39,Returning,Personal,Economy,253,0,34.0,3,2,1,2,1,2,1,4,1,1,1,2,1,4,Neutral or Dissatisfied
90550,Female,39,Returning,Business,Business,2055,0,0.0,3,3,5,5,3,4,4,4,3,4,4,3,4,4,Satisfied
33585,Male,25,First-time,Business,Business,474,0,0.0,0,3,3,3,5,1,2,2,2,2,4,3,2,5,Neutral or Dissatisfied
51879,Female,41,Returning,Business,Business,3068,0,0.0,3,3,5,4,3,4,5,4,5,5,4,3,4,4,Satisfied
25221,Female,40,Returning,Business,Economy,919,15,15.0,1,1,2,3,1,1,3,2,3,3,3,3,3,4,Neutral or Dissatisfied
3734,Female,12,Returning,Personal,Economy,544,1,0.0,2,2,3,2,2,3,5,3,5,5,3,2,5,3,Neutral or Dissatisfied
47052,Male,22,Returning,Business,Business,2640,0,14.0,5,5,2,1,5,2,1,2,1,1,3,1,1,3,Neutral or Dissatisfied
124096,Female,49,Returning,Business,Business,1924,0,22.0,5,5,5,5,5,3,5,3,5,4,3,5,3,3,Satisfied
54702,Female,38,Returning,Business,Business,387,4,0.0,5,4,4,5,5,4,2,4,2,1,4,5,4,4,Satisfied
80149,Male,59,Returning,Business,Business,2586,0,0.0,4,4,4,4,4,3,4,4,4,4,4,4,5,4,Satisfied
58150,Male,41,Returning,Business,Business,2069,51,51.0,4,3,5,4,4,4,5,4,4,3,4,4,4,4,Satisfied
46551,Male,42,Returning,Business,Economy,125,20,17.0,5,5,2,4,5,3,4,3,4,4,1,4,4,5,Satisfied
45144,Male,57,Returning,Business,Economy,174,48,49.0,4,4,4,5,4,1,5,2,5,5,2,5,5,3,Satisfied
119185,Female,52,Returning,Business,Business,331,0,0.0,2,4,3,5,4,5,5,5,4,4,5,4,5,5,Satisfied
113407,Female,49,Returning,Business,Business,258,0,0.0,5,5,5,4,5,5,5,5,4,3,5,5,5,5,Satisfied
79954,Female,23,Returning,Business,Business,1089,0,0.0,1,1,3,4,1,4,4,5,4,4,4,1,4,4,Satisfied
27091,Male,31,Returning,Personal,Business,1721,66,54.0,3,3,1,3,2,3,3,5,5,5,2,3,5,2,Neutral or Dissatisfied
117379,Female,51,Returning,Business,Business,1294,0,0.0,5,5,3,4,5,3,5,3,3,4,3,5,3,3,Satisfied
124253,Female,61,Returning,Personal,Economy,1916,0,0.0,5,4,5,5,3,2,4,4,3,4,2,4,2,5,Neutral or Dissatisfied
32283,Male,44,Returning,Business,Business,2236,0,0.0,3,3,2,3,3,5,3,5,4,2,5,3,5,5,Satisfied
107036,Male,39,First-time,Business,Business,395,0,0.0,1,1,3,1,1,3,3,3,3,3,4,1,3,5,Neutral or Dissatisfied
23262,Male,48,Returning,Business,Business,826,0,41.0,3,1,3,4,3,3,4,3,3,5,3,3,3,3,Neutral or Dissatisfied
15667,Male,15,Returning,Personal,Economy,764,22,11.0,4,3,2,3,3,1,4,3,4,4,4,3,4,4,Neutral or Dissatisfied
117522,Female,44,Returning,Business,Business,347,82,85.0,5,5,3,5,5,4,4,4,4,5,4,5,4,4,Satisfied
551,Female,44,Returning,Business,Business,3447,0,0.0,5,0,3,5,1,3,5,3,5,3,3,0,3,3,Satisfied
121971,Female,70,First-time,Personal,Business,130,0,0.0,5,0,3,0,5,3,1,5,1,1,4,3,1,4,Neutral or Dissatisfied
100900,Male,45,Returning,Business,Business,377,0,0.0,2,2,4,5,2,4,5,4,5,4,4,2,4,4,Satisfied
66756,Female,22,First-time,Personal,Economy,802,11,0.0,4,1,3,1,2,2,3,4,3,3,2,2,3,3,Neutral or Dissatisfied
47433,Male,67,Returning,Business,Economy,190,31,22.0,1,1,2,3,1,1,3,3,3,3,3,3,3,3,Neutral or Dissatisfied
8927,Male,39,First-time,Business,Business,984,2,0.0,2,2,5,2,2,3,5,2,5,5,5,1,5,5,Neutral or Dissatisfied
11662,Female,14,Returning,Personal,Economy Plus,878,5,0.0,3,5,3,5,3,2,3,4,3,3,3,5,3,2,Satisfied
20484,Male,43,First-time,Business,Economy,139,0,0.0,0,3,2,3,3,5,4,3,4,4,5,3,4,3,Neutral or Dissatisfied
33390,Male,36,Returning,Personal,Economy Plus,2614,0,0.0,3,1,1,1,4,2,2,4,2,2,3,1,2,2,Neutral or Dissatisfied
59480,Male,62,First-time,Business,Economy,758,11,12.0,2,2,4,2,4,4,2,2,2,2,4,2,2,4,Neutral or Dissatisfied
62429,Female,18,Returning,Business,Business,1670,0,0.0,3,3,1,5,3,4,5,5,5,5,3,3,5,4,Satisfied
117601,Female,45,Returning,Business,Economy,872,0,0.0,5,5,1,3,5,2,4,2,2,5,2,2,2,2,Neutral or Dissatisfied
74310,Female,54,First-time,Business,Business,1171,0,0.0,2,2,3,3,3,4,5,2,5,5,5,3,5,5,Neutral or Dissatisfied
40452,Female,38,Returning,Business,Economy,150,0,0.0,3,3,2,4,3,3,4,4,4,4,2,4,4,2,Satisfied
11178,Female,44,Returning,Personal,Economy,201,4,0.0,4,0,4,3,3,1,3,0,1,4,1,3,1,1,Neutral or Dissatisfied
101493,Female,65,Returning,Business,Economy,345,54,46.0,5,5,1,3,5,1,4,2,3,1,1,2,1,1,Neutral or Dissatisfied
37428,Female,35,Returning,Business,Business,950,0,0.0,5,5,5,3,5,5,1,5,5,5,5,5,5,5,Satisfied
61963,Male,40,Returning,Business,Business,2052,0,0.0,5,5,5,4,5,2,5,2,3,2,2,5,2,2,Satisfied
48553,Male,21,Returning,Personal,Economy,850,0,0.0,4,2,4,2,4,5,1,3,1,1,5,2,1,5,Neutral or Dissatisfied
28080,Male,39,Returning,Business,Business,2172,0,0.0,5,5,4,4,5,4,5,4,4,4,4,5,4,4,Satisfied
32254,Female,56,Returning,Business,Business,2732,0,0.0,1,1,2,5,1,4,2,4,2,3,4,1,4,5,Satisfied
73095,Male,9,Returning,Personal,Economy Plus,1085,0,0.0,4,4,4,4,5,5,1,4,5,5,5,4,5,4,Neutral or Dissatisfied
33076,Male,46,Returning,Personal,Economy,102,0,0.0,4,3,4,3,2,3,4,4,4,4,5,3,4,4,Neutral or Dissatisfied
25153,Female,57,Returning,Business,Economy,2106,2,0.0,4,4,2,4,4,4,5,4,2,4,4,4,4,4,Satisfied
54004,Male,40,Returning,Business,Business,395,53,55.0,4,4,1,5,4,5,4,5,4,4,5,4,5,5,Satisfied
14010,Female,48,Returning,Personal,Economy,615,11,15.0,2,2,2,3,3,5,4,2,3,2,5,2,5,5,Neutral or Dissatisfied
93699,Male,41,Returning,Personal,Economy,1452,18,8.0,1,1,3,1,2,4,5,2,5,5,2,1,5,3,Neutral or Dissatisfied
106483,Female,23,Returning,Personal,Economy,1624,0,0.0,2,0,3,0,4,3,4,4,4,4,3,1,4,3,Neutral or Dissatisfied
61057,Female,55,Returning,Business,Business,1703,60,64.0,1,4,5,5,1,4,4,4,3,4,4,1,4,4,Satisfied
71670,Female,22,Returning,Personal,Economy,1182,9,4.0,4,2,4,2,5,5,4,5,4,4,4,3,4,4,Neutral or Dissatisfied
81356,Female,31,Returning,Personal,Economy,1299,3,0.0,5,3,3,3,3,4,1,2,1,1,4,3,1,4,Neutral or Dissatisfied
48893,Male,33,Returning,Business,Business,2035,0,0.0,5,5,2,4,5,3,5,4,4,4,3,5,4,5,Satisfied
35123,Female,30,Returning,Business,Business,2360,0,0.0,3,3,2,5,3,5,5,5,5,5,1,3,5,5,Satisfied
84682,Female,59,First-time,Business,Economy,682,0,4.0,3,3,1,3,1,3,2,5,2,2,2,3,2,1,Neutral or Dissatisfied
105754,Female,22,First-time,Business,Economy,842,0,7.0,3,3,1,3,1,3,1,1,1,1,1,3,1,1,Neutral or Dissatisfied
110071,Female,49,Returning,Business,Business,2695,1,0.0,3,3,4,2,3,2,3,2,4,2,2,2,2,2,Neutral or Dissatisfied
91314,Female,53,Returning,Business,Business,442,0,0.0,4,4,5,4,4,5,5,5,5,2,5,4,5,5,Satisfied
8541,Female,43,Returning,Business,Business,3136,60,53.0,3,3,3,5,3,4,4,4,4,5,4,3,4,4,Satisfied
2111,Female,11,Returning,Personal,Economy Plus,785,0,14.0,4,2,5,2,1,4,3,2,3,3,5,2,3,4,Neutral or Dissatisfied
14056,Male,42,Returning,Business,Business,141,0,0.0,2,2,3,2,2,5,2,5,1,3,5,2,5,5,Satisfied
227,Female,56,Returning,Personal,Economy,213,20,8.0,0,0,3,4,3,5,5,0,5,4,5,3,5,5,Neutral or Dissatisfied
54465,Male,40,Returning,Business,Business,2033,0,18.0,3,3,3,3,3,2,4,1,2,3,2,2,2,2,Neutral or Dissatisfied
9359,Female,66,Returning,Business,Business,401,20,1.0,3,3,1,3,3,3,2,3,3,2,3,3,3,3,Neutral or Dissatisfied
87120,Male,58,Returning,Personal,Economy,640,0,0.0,4,3,5,3,4,4,5,2,5,5,4,3,5,4,Neutral or Dissatisfied
39969,Male,51,Returning,Business,Economy,1404,0,0.0,1,1,5,3,1,4,3,3,3,3,2,3,3,4,Satisfied
22089,Male,27,Returning,Business,Business,782,55,100.0,2,2,5,4,2,3,4,2,4,4,4,2,4,2,Satisfied
21162,Male,9,Returning,Personal,Economy,954,0,4.0,4,2,2,2,4,4,2,1,2,2,3,2,2,3,Neutral or Dissatisfied
114568,Female,65,Returning,Personal,Business,362,20,6.0,4,1,4,5,2,5,4,1,4,3,5,1,5,5,Neutral or Dissatisfied
34499,Female,28,First-time,Business,Economy,1428,9,14.0,2,2,2,1,1,4,3,1,3,3,1,1,3,2,Neutral or Dissatisfied
35006,Male,56,Returning,Personal,Economy,1182,0,9.0,5,2,5,2,3,5,3,2,3,3,5,2,3,4,Neutral or Dissatisfied
57898,Male,21,First-time,Business,Economy,305,0,0.0,1,3,1,3,4,4,4,2,4,4,4,2,4,4,Neutral or Dissatisfied
25397,Male,60,Returning,Business,Business,3052,0,0.0,4,4,2,3,4,1,3,2,4,3,1,1,1,1,Neutral or Dissatisfied
72932,Male,48,Returning,Business,Business,1096,0,0.0,1,1,5,4,1,4,5,4,5,5,4,1,4,4,Satisfied
15693,Female,32,Returning,Business,Business,2068,0,0.0,4,4,4,2,4,5,2,4,2,2,4,4,2,5,Satisfied
91779,Male,40,Returning,Personal,Economy,626,0,0.0,1,2,4,2,3,4,5,2,5,5,3,2,5,3,Neutral or Dissatisfied
8953,Male,59,Returning,Business,Business,328,0,0.0,3,3,5,5,3,5,5,5,5,4,5,3,5,5,Satisfied
113962,Female,60,Returning,Business,Business,1790,109,103.0,5,5,3,4,5,2,4,2,4,4,2,5,2,2,Satisfied
42570,Male,39,Returning,Business,Business,3262,0,0.0,3,2,2,5,3,5,5,5,5,5,5,3,5,5,Satisfied
30434,Female,28,Returning,Business,Economy,483,0,0.0,0,0,1,0,4,2,3,3,3,3,5,0,3,3,Satisfied
3702,Male,44,Returning,Personal,Economy,427,0,0.0,1,2,1,2,3,2,1,3,1,1,2,2,1,2,Neutral or Dissatisfied
95102,Male,57,Returning,Personal,Economy,239,66,61.0,4,2,4,2,4,4,3,5,3,3,2,2,3,5,Neutral or Dissatisfied
63652,Male,25,First-time,Business,Economy,760,0,0.0,2,2,4,2,3,5,3,5,3,3,5,2,3,4,Neutral or Dissatisfied
20453,Male,18,First-time,Business,Economy,177,34,32.0,4,4,3,4,4,3,5,5,5,5,4,3,5,3,Neutral or Dissatisfied
49268,Male,39,First-time,Business,Economy,373,0,0.0,5,2,1,2,3,2,5,4,5,5,2,2,5,2,Neutral or Dissatisfied
14536,Male,69,Returning,Business,Business,362,215,216.0,5,5,1,1,5,4,1,4,1,1,4,1,3,3,Neutral or Dissatisfied
96155,Male,48,Returning,Business,Business,460,7,4.0,2,2,4,5,2,3,4,4,5,5,3,2,3,3,Satisfied
33600,Female,48,Returning,Business,Business,474,0,0.0,1,1,5,4,1,3,5,4,3,2,3,1,3,3,Satisfied
70782,Male,55,Returning,Business,Business,3412,0,0.0,5,5,1,4,5,2,3,2,3,1,2,2,2,2,Neutral or Dissatisfied
93865,Male,43,Returning,Business,Business,2408,0,0.0,1,1,3,5,1,4,5,4,3,4,4,1,4,4,Satisfied
98051,Female,20,Returning,Business,Business,1751,14,0.0,2,2,3,4,2,4,4,4,4,4,4,2,4,5,Satisfied
71818,Female,45,Returning,Business,Business,1829,0,0.0,3,3,4,4,3,4,4,4,4,4,4,3,4,4,Satisfied
33109,Male,38,Returning,Personal,Economy,101,0,0.0,5,0,3,0,5,3,1,4,1,1,4,2,1,5,Neutral or Dissatisfied
7766,Female,22,First-time,Business,Economy,1080,0,0.0,2,2,3,2,1,4,2,2,2,2,5,2,2,5,Neutral or Dissatisfied
33599,Male,23,Returning,Business,Business,413,7,23.0,5,4,1,3,4,3,3,5,3,3,3,3,3,4,Neutral or Dissatisfied
60492,Male,25,First-time,Business,Business,862,0,0.0,5,1,3,1,1,3,3,4,3,3,4,1,3,5,Neutral or Dissatisfied
86660,Female,45,Returning,Personal,Economy,746,2,0.0,4,1,3,4,3,2,3,1,1,5,2,2,2,2,Neutral or Dissatisfied
36297,Female,23,First-time,Business,Economy,187,9,0.0,0,5,4,5,5,4,1,1,1,1,4,5,1,4,Satisfied
75252,Female,23,Returning,Personal,Economy,1652,0,13.0,5,1,3,1,4,5,4,2,4,4,5,1,4,4,Neutral or Dissatisfied
104981,Male,32,First-time,Business,Business,337,8,5.0,2,2,3,2,3,3,2,5,2,2,5,2,2,4,Neutral or Dissatisfied
41063,Female,38,First-time,Business,Business,224,0,0.0,1,1,4,1,4,5,4,3,4,4,4,1,4,4,Neutral or Dissatisfied
110811,Female,56,Returning,Personal,Economy,990,65,68.0,5,4,5,4,1,3,5,4,3,4,3,4,3,3,Neutral or Dissatisfied
32462,Female,36,First-time,Business,Economy,216,0,0.0,0,1,2,1,4,4,4,2,4,4,1,2,4,5,Neutral or Dissatisfied
30405,Male,41,Returning,Personal,Economy,862,0,3.0,4,2,4,2,4,3,4,5,4,4,5,2,4,4,Neutral or Dissatisfied
115705,Male,48,Returning,Business,Business,3685,76,66.0,2,2,3,2,2,3,3,3,1,2,3,3,3,3,Neutral or Dissatisfied
58531,Female,41,Returning,Personal,Economy,719,0,0.0,3,3,2,3,3,3,2,1,2,2,3,3,2,4,Neutral or Dissatisfied
